retailer,invoice_date,region,state,product,price_per_unit,units_sold,total_sales
West Gear,2020-07-11,West,Washington,Men's Apparel,71,155,11005
Sports Direct,2021-11-17,South,Mississippi,Women's Apparel,51,168,8568
Amazon,2021-04-11,Northeast,Vermont,Men's Street Footwear,30,168,5040
Sports Direct,2021-04-24,South,Tennessee,Women's Athletic Footwear,32,162,5184
Walmart,2021-05-18,Southeast,Florida,Men's Street Footwear,58,155,8990
Foot Locker,2021-03-23,Southeast,Virginia,Men's Street Footwear,30,162,4860
Walmart,2021-06-17,Southeast,Florida,Women's Athletic Footwear,77,155,11935
Sports Direct,2021-09-20,South,Texas,Men's Apparel,47,167,7849
West Gear,2020-06-07,West,Washington,Men's Street Footwear,46,167,7682
Foot Locker,2021-01-05,South,Louisiana,Women's Street Footwear,21,162,3402
Kohl's,2021-12-08,Northeast,New York,Women's Athletic Footwear,54,155,8370
Foot Locker,2021-06-13,Midwest,Nebraska,Women's Apparel,35,150,5250
West Gear,2021-04-05,West,Idaho,Women's Street Footwear,19,162,3078
Kohl's,2021-12-08,Northeast,New York,Men's Apparel,60,155,9300
Foot Locker,2021-06-19,Midwest,Nebraska,Women's Apparel,55,150,8250
Kohl's,2021-02-26,Midwest,Montana,Men's Street Footwear,38,167,6346
Foot Locker,2021-08-08,West,Idaho,Women's Athletic Footwear,33,162,5346
Foot Locker,2021-11-24,Southeast,Virginia,Men's Street Footwear,42,155,6510
Kohl's,2021-11-11,West,Wyoming,Men's Athletic Footwear,42,167,7014
West Gear,2021-10-17,South,Louisiana,Men's Athletic Footwear,45,155,6975
Sports Direct,2021-06-17,Midwest,Michigan,Men's Athletic Footwear,46,167,7682
Foot Locker,2021-02-23,West,Idaho,Men's Street Footwear,21,162,3402
Sports Direct,2021-10-17,Midwest,Michigan,Men's Athletic Footwear,37,167,6179
Sports Direct,2021-04-03,Southeast,North Carolina,Men's Athletic Footwear,28,155,4340
Kohl's,2021-08-26,West,New Mexico,Men's Apparel,48,162,7776
Sports Direct,2021-07-12,Southeast,Georgia,Men's Apparel,39,162,6318
West Gear,2021-05-18,South,Louisiana,Women's Apparel,59,167,9853
Sports Direct,2021-12-16,South,Mississippi,Men's Athletic Footwear,58,155,8990
West Gear,2021-05-05,West,Idaho,Women's Street Footwear,23,167,3841
Sports Direct,2021-10-18,South,Mississippi,Women's Apparel,27,162,4374
West Gear,2021-06-10,Midwest,Indiana,Men's Street Footwear,36,155,5580
Foot Locker,2021-02-08,Northeast,Connecticut,Men's Street Footwear,24,162,3888
Sports Direct,2021-06-15,Northeast,Massachusetts,Men's Street Footwear,51,155,7905
Sports Direct,2021-10-04,West,Idaho,Men's Street Footwear,36,167,6012
Amazon,2021-06-19,Northeast,New Hampshire,Women's Apparel,50,162,8100
Sports Direct,2020-08-04,South,Texas,Men's Apparel,35,155,5425
Foot Locker,2021-09-24,West,Arizona,Men's Street Footwear,41,167,6847
Kohl's,2021-03-11,West,California,Men's Apparel,36,155,5580
Sports Direct,2021-11-03,Southeast,North Carolina,Women's Street Footwear,38,167,6346
Amazon,2021-01-13,Southeast,North Carolina,Women's Street Footwear,24,167,4008
Sports Direct,2021-08-22,South,Texas,Women's Apparel,26,155,4030
Amazon,2021-11-10,Midwest,Ohio,Women's Apparel,74,167,12358
Sports Direct,2021-08-25,South,Texas,Women's Street Footwear,20,155,3100
Sports Direct,2021-10-10,South,Alabama,Men's Apparel,40,155,6200
Foot Locker,2021-06-21,Midwest,Nebraska,Men's Athletic Footwear,35,150,5250
Amazon,2021-08-22,Southeast,Kentucky,Men's Street Footwear,46,167,7682
Walmart,2021-09-18,Southeast,Florida,Men's Street Footwear,44,155,6820
West Gear,2021-01-23,South,Arkansas,Men's Street Footwear,24,167,4008
West Gear,2021-05-25,West,Oregon,Men's Street Footwear,39,155,6045
West Gear,2021-05-19,South,Oklahoma,Men's Street Footwear,36,167,6012
Foot Locker,2021-06-23,Midwest,Nebraska,Women's Athletic Footwear,30,150,4500
Foot Locker,2021-07-06,Northeast,Rhode Island,Men's Street Footwear,46,167,7682
Foot Locker,2021-06-24,Midwest,Nebraska,Men's Apparel,45,150,6750
Amazon,2021-02-12,Northeast,Massachusetts,Men's Street Footwear,41,167,6847
Foot Locker,2021-07-13,Midwest,Nebraska,Women's Apparel,35,150,5250
Foot Locker,2021-10-28,Northeast,Pennsylvania,Men's Street Footwear,32,166,5312
Foot Locker,2021-07-15,Midwest,Nebraska,Men's Athletic Footwear,30,150,4500
Foot Locker,2021-07-19,Midwest,Nebraska,Women's Apparel,45,150,6750
Sports Direct,2021-04-09,Midwest,North Dakota,Men's Athletic Footwear,30,150,4500
Sports Direct,2021-04-09,Midwest,North Dakota,Women's Street Footwear,20,150,3000
Foot Locker,2021-07-21,Midwest,Nebraska,Men's Athletic Footwear,30,150,4500
West Gear,2020-01-07,West,Nevada,Women's Apparel,36,166,5976
Sports Direct,2021-09-10,Midwest,North Dakota,Women's Athletic Footwear,30,150,4500
West Gear,2020-03-11,West,Nevada,Women's Street Footwear,47,166,7802
Sports Direct,2021-09-10,Midwest,North Dakota,Men's Apparel,40,150,6000
Foot Locker,2021-07-29,Midwest,Nebraska,Women's Athletic Footwear,40,150,6000
West Gear,2020-03-12,West,Nevada,Women's Athletic Footwear,40,166,6640
Sports Direct,2021-10-09,Midwest,North Dakota,Women's Street Footwear,40,150,6000
Foot Locker,2021-07-30,Midwest,Nebraska,Men's Apparel,50,150,7500
Foot Locker,2021-11-09,Midwest,North Dakota,Men's Apparel,60,150,9000
Amazon,2021-10-16,Northeast,Maine,Men's Apparel,50,150,7500
Foot Locker,2021-10-19,Northeast,New Hampshire,Men's Street Footwear,52,162,8424
Foot Locker,2021-01-06,Midwest,North Dakota,Men's Apparel,40,150,6000
Amazon,2021-10-19,Northeast,Maine,Men's Athletic Footwear,40,150,6000
West Gear,2020-11-05,West,California,Men's Apparel,51,161,8211
Foot Locker,2021-02-06,Midwest,North Dakota,Men's Athletic Footwear,30,150,4500
Foot Locker,2021-07-06,Midwest,Illinois,Men's Street Footwear,47,161,7567
Foot Locker,2021-07-12,Midwest,Illinois,Men's Street Footwear,49,149,7301
West Gear,2020-01-26,West,Nevada,Men's Street Footwear,58,149,8642
West Gear,2020-07-19,West,Washington,Men's Street Footwear,58,149,8642
Sports Direct,2021-10-09,South,Texas,Women's Apparel,45,161,7245
West Gear,2020-04-22,West,Colorado,Women's Street Footwear,67,161,10787
Sports Direct,2021-05-18,South,Tennessee,Women's Athletic Footwear,54,149,8046
Sports Direct,2021-08-24,South,Alabama,Women's Apparel,20,149,2980
Kohl's,2021-01-15,Midwest,Montana,Men's Street Footwear,44,161,7084
Foot Locker,2021-07-09,West,Hawaii,Men's Apparel,80,149,11920
Sports Direct,2021-04-02,South,Tennessee,Women's Apparel,24,161,3864
Walmart,2021-09-11,West,Hawaii,Men's Street Footwear,62,149,9238
Sports Direct,2021-04-18,South,Tennessee,Women's Athletic Footwear,37,161,5957
Walmart,2021-09-11,West,Hawaii,Men's Athletic Footwear,69,149,10281
West Gear,2021-03-08,Northeast,New York,Women's Street Footwear,33,161,5313
West Gear,2021-08-09,Northeast,New York,Men's Apparel,52,149,7748
Foot Locker,2021-02-06,Midwest,Iowa,Men's Apparel,40,150,6000
Amazon,2021-10-22,Northeast,Maine,Men's Apparel,50,150,7500
Foot Locker,2021-03-05,Midwest,Iowa,Men's Apparel,30,150,4500
West Gear,2021-03-08,Northeast,New York,Women's Apparel,43,161,6923
Amazon,2021-10-31,Northeast,Maine,Men's Athletic Footwear,40,150,6000
Foot Locker,2021-05-07,Midwest,Iowa,Men's Apparel,45,150,6750
West Gear,2021-05-08,Northeast,New York,Men's Athletic Footwear,53,161,8533
Foot Locker,2021-09-07,Midwest,Iowa,Women's Athletic Footwear,25,150,3750
Foot Locker,2021-09-07,Midwest,Iowa,Men's Apparel,35,150,5250
Foot Locker,2021-10-06,Midwest,Iowa,Women's Street Footwear,35,150,5250
West Gear,2021-01-03,Midwest,Iowa,Men's Apparel,40,150,6000
West Gear,2021-02-03,Midwest,Iowa,Men's Athletic Footwear,30,150,4500
Kohl's,2021-11-11,West,Wyoming,Women's Apparel,55,161,8855
West Gear,2021-02-03,Midwest,Wisconsin,Men's Apparel,40,150,6000
West Gear,2021-06-17,South,Louisiana,Women's Athletic Footwear,82,161,13202
Foot Locker,2021-08-23,West,Arizona,Men's Athletic Footwear,57,161,9177
Foot Locker,2021-09-24,West,Arizona,Men's Athletic Footwear,45,161,7245
West Gear,2021-12-09,Midwest,Ohio,Women's Street Footwear,59,161,9499
Kohl's,2021-03-10,West,Wyoming,Women's Street Footwear,27,149,4023
Sports Direct,2021-08-14,Northeast,Massachusetts,Men's Street Footwear,50,161,8050
Kohl's,2021-04-11,West,Wyoming,Women's Apparel,36,149,5364
Kohl's,2021-03-10,West,California,Women's Athletic Footwear,41,160,6560
Kohl's,2021-07-10,West,Wyoming,Women's Street Footwear,38,149,5662
West Gear,2020-01-14,West,Nevada,Men's Street Footwear,43,160,6880
Foot Locker,2021-07-23,Southeast,Virginia,Women's Athletic Footwear,82,149,12218
West Gear,2021-04-03,Midwest,Wisconsin,Men's Athletic Footwear,20,150,3000
West Gear,2020-06-13,West,Washington,Men's Street Footwear,68,160,10880
Foot Locker,2021-11-24,Southeast,Virginia,Women's Apparel,74,149,11026
West Gear,2021-04-03,Midwest,Wisconsin,Women's Street Footwear,10,150,1500
Foot Locker,2020-11-22,Midwest,Minnesota,Men's Street Footwear,49,160,7840
Sports Direct,2021-01-19,Southeast,Virginia,Women's Street Footwear,23,149,3427
West Gear,2021-05-04,Midwest,Wisconsin,Women's Athletic Footwear,35,150,5250
West Gear,2021-11-11,West,Utah,Men's Street Footwear,29,149,4321
West Gear,2021-09-04,Midwest,Wisconsin,Women's Street Footwear,25,150,3750
Kohl's,2021-02-20,Midwest,Montana,Men's Street Footwear,44,160,7040
Amazon,2021-11-01,Northeast,Maine,Women's Street Footwear,30,150,4500
West Gear,2021-11-24,West,Oregon,Women's Apparel,76,149,11324
West Gear,2021-01-10,Midwest,Wisconsin,Women's Athletic Footwear,30,150,4500
Amazon,2021-11-09,Northeast,Maine,Men's Apparel,55,150,8250
Kohl's,2021-06-26,West,New Mexico,Women's Street Footwear,54,149,8046
West Gear,2021-09-11,Midwest,Indiana,Women's Athletic Footwear,25,150,3750
Kohl's,2021-10-26,West,New Mexico,Men's Athletic Footwear,50,149,7450
Kohl's,2021-02-21,Midwest,Montana,Men's Athletic Footwear,49,160,7840
West Gear,2021-09-11,Midwest,Indiana,Men's Apparel,35,150,5250
Sports Direct,2021-10-04,Southeast,North Carolina,Men's Apparel,42,149,6258
Amazon,2021-05-20,West,Alaska,Men's Street Footwear,59,160,9440
West Gear,2021-10-10,Midwest,Indiana,Women's Street Footwear,35,150,5250
Kohl's,2021-01-16,South,Oklahoma,Men's Street Footwear,23,149,3427
Sports Direct,2021-03-16,Southeast,Florida,Men's Street Footwear,46,160,7360
West Gear,2021-10-10,Midwest,Indiana,Women's Athletic Footwear,35,150,5250
West Gear,2021-07-02,Midwest,Wisconsin,Men's Street Footwear,45,149,6705
West Gear,2021-05-08,Northeast,New York,Women's Street Footwear,49,160,7840
West Gear,2021-07-09,Midwest,Indiana,Men's Street Footwear,51,149,7599
Amazon,2021-12-25,Northeast,Maine,Men's Apparel,55,150,8250
West Gear,2021-02-17,Midwest,Indiana,Men's Street Footwear,33,149,4917
Amazon,2021-12-29,Northeast,Maine,Women's Street Footwear,45,150,6750
Sports Direct,2021-12-06,Northeast,New Jersey,Men's Street Footwear,55,149,8195
Sports Direct,2021-02-05,Northeast,New Jersey,Men's Street Footwear,39,149,5811
Kohl's,2021-04-11,West,California,Men's Apparel,38,149,5662
West Gear,2021-10-10,Midwest,Indiana,Men's Apparel,45,150,6750
Amazon,2021-04-21,West,Alaska,Women's Athletic Footwear,50,150,7500
Sports Direct,2021-09-01,South,Texas,Women's Athletic Footwear,20,149,2980
Foot Locker,2021-07-22,West,Arizona,Men's Apparel,40,145,5800
West Gear,2021-01-17,Midwest,Indiana,Women's Athletic Footwear,30,150,4500
Amazon,2021-04-21,West,Alaska,Men's Apparel,60,150,9000
Sports Direct,2021-10-02,South,Texas,Men's Apparel,37,149,5513
West Gear,2021-03-20,Northeast,Maryland,Men's Athletic Footwear,35,150,5250
Foot Locker,2021-07-22,West,Arizona,Women's Apparel,46,145,6670
Foot Locker,2021-02-10,West,Hawaii,Men's Apparel,50,150,7500
West Gear,2020-03-15,West,Nevada,Men's Street Footwear,20,149,2980
West Gear,2021-05-20,Northeast,Maryland,Women's Street Footwear,40,150,6000
Sports Direct,2021-10-04,South,Alabama,Men's Apparel,37,149,5513
Foot Locker,2021-06-22,Northeast,Maryland,Women's Athletic Footwear,40,150,6000
Foot Locker,2021-04-10,West,Hawaii,Men's Apparel,55,150,8250
Sports Direct,2021-03-16,Southeast,Florida,Women's Street Footwear,47,149,7003
Foot Locker,2021-06-22,Northeast,Maryland,Men's Apparel,50,150,7500
Foot Locker,2021-01-24,West,Wyoming,Men's Apparel,45,150,6750
Foot Locker,2021-09-25,Southeast,Virginia,Men's Street Footwear,35,149,5215
Sports Direct,2021-07-20,Northeast,Maryland,Women's Athletic Footwear,40,150,6000
West Gear,2021-02-11,West,Utah,Women's Apparel,18,149,2682
Sports Direct,2021-08-21,Northeast,Maryland,Women's Athletic Footwear,40,150,6000
West Gear,2021-09-25,West,Oregon,Men's Street Footwear,34,149,5066
West Gear,2021-01-24,West,Utah,Men's Apparel,45,150,6750
West Gear,2021-11-24,West,Oregon,Women's Athletic Footwear,39,149,5811
West Gear,2021-03-16,South,Louisiana,Men's Apparel,60,150,9000
Sports Direct,2021-11-05,West,Idaho,Men's Apparel,41,149,6109
Foot Locker,2021-11-21,Northeast,Maryland,Women's Athletic Footwear,50,150,7500
Foot Locker,2021-02-23,West,Arizona,Men's Apparel,45,150,6750
Kohl's,2021-07-25,West,New Mexico,Women's Athletic Footwear,39,149,5811
Foot Locker,2021-02-15,Northeast,Delaware,Women's Athletic Footwear,35,150,5250
Kohl's,2021-11-26,West,New Mexico,Women's Street Footwear,46,149,6854
Foot Locker,2021-04-14,Northeast,Delaware,Women's Athletic Footwear,35,150,5250
Sports Direct,2021-01-13,West,New Mexico,Men's Street Footwear,24,149,3576
Foot Locker,2021-09-24,West,Arizona,Women's Street Footwear,34,145,4930
Foot Locker,2021-04-14,Northeast,Delaware,Men's Apparel,50,150,7500
Kohl's,2021-09-27,West,New Mexico,Women's Athletic Footwear,37,145,5365
Sports Direct,2021-08-13,Southeast,Georgia,Women's Athletic Footwear,42,149,6258
Kohl's,2021-09-06,Northeast,New Jersey,Women's Athletic Footwear,40,150,6000
Kohl's,2021-09-27,West,New Mexico,Men's Apparel,40,145,5800
Foot Locker,2021-06-18,South,Mississippi,Women's Athletic Footwear,34,149,5066
Sports Direct,2021-05-14,Southeast,Georgia,Women's Street Footwear,40,145,5800
Walmart,2021-06-21,South,Arkansas,Men's Athletic Footwear,25,149,3725
Sports Direct,2021-11-13,Southeast,Georgia,Women's Street Footwear,39,145,5655
Walmart,2021-07-19,South,Arkansas,Men's Apparel,40,149,5960
Kohl's,2021-09-06,Northeast,New Jersey,Men's Apparel,50,150,7500
Walmart,2021-09-16,South,Mississippi,Women's Street Footwear,15,145,2175
West Gear,2021-12-19,South,Arkansas,Women's Street Footwear,43,149,6407
Kohl's,2021-10-08,Northeast,New Jersey,Women's Street Footwear,50,150,7500
Walmart,2021-02-21,South,Arkansas,Women's Apparel,16,145,2320
Kohl's,2021-12-19,South,Oklahoma,Men's Athletic Footwear,47,149,7003
Sports Direct,2021-01-07,Northeast,New Jersey,Women's Athletic Footwear,35,150,5250
Walmart,2021-05-19,South,Arkansas,Women's Apparel,33,145,4785
Foot Locker,2021-11-04,Northeast,Connecticut,Men's Street Footwear,51,149,7599
Sports Direct,2021-03-03,Northeast,Connecticut,Men's Apparel,50,150,7500
Amazon,2021-07-10,Northeast,Vermont,Men's Athletic Footwear,42,145,6090
Foot Locker,2021-01-10,Northeast,Connecticut,Men's Street Footwear,23,149,3427
Sports Direct,2021-10-05,Northeast,Connecticut,Women's Athletic Footwear,55,150,8250
Amazon,2021-12-10,Northeast,Vermont,Women's Apparel,60,145,8700
Sports Direct,2021-04-14,Northeast,Massachusetts,Men's Street Footwear,28,149,4172
Foot Locker,2021-03-06,Northeast,Rhode Island,Men's Athletic Footwear,35,150,5250
Foot Locker,2021-04-23,West,Arizona,Men's Apparel,55,150,8250
Amazon,2021-08-18,Northeast,New Hampshire,Women's Apparel,46,145,6670
Amazon,2021-08-11,Northeast,Vermont,Men's Athletic Footwear,43,149,6407
Foot Locker,2021-05-06,Northeast,Rhode Island,Women's Athletic Footwear,40,150,6000
Foot Locker,2021-06-12,Midwest,Illinois,Men's Street Footwear,47,144,6768
Amazon,2021-07-17,Northeast,New Hampshire,Men's Athletic Footwear,47,149,7003
Foot Locker,2021-08-07,Northeast,Rhode Island,Women's Athletic Footwear,40,150,6000
Sports Direct,2021-03-12,Southeast,Georgia,Men's Apparel,55,150,8250
Foot Locker,2021-11-18,Northeast,New Hampshire,Men's Street Footwear,59,149,8791
Sports Direct,2021-01-17,Northeast,Rhode Island,Men's Apparel,50,150,7500
Amazon,2021-01-22,Midwest,Ohio,Women's Athletic Footwear,35,150,5250
Walmart,2020-08-10,South,Texas,Men's Apparel,42,147,6174
Sports Direct,2021-02-15,Northeast,Rhode Island,Men's Athletic Footwear,40,150,6000
Sports Direct,2021-08-16,South,Texas,Women's Apparel,33,147,4851
Sports Direct,2021-02-15,Northeast,Massachusetts,Men's Apparel,50,150,7500
Sports Direct,2021-04-14,Northeast,Massachusetts,Men's Athletic Footwear,40,150,6000
Sports Direct,2021-09-25,South,Texas,Women's Athletic Footwear,47,147,6909
Amazon,2021-03-21,Southeast,Kentucky,Men's Apparel,55,150,8250
Sports Direct,2021-04-14,Northeast,Massachusetts,Women's Street Footwear,30,150,4500
Kohl's,2021-01-28,Midwest,Montana,Men's Athletic Footwear,42,147,6174
Amazon,2021-05-23,Southeast,Kentucky,Men's Apparel,50,150,7500
Sports Direct,2021-08-14,Northeast,Massachusetts,Men's Apparel,55,150,8250
Sports Direct,2021-05-05,South,Tennessee,Women's Street Footwear,36,147,5292
Amazon,2021-10-22,Southeast,Kentucky,Women's Athletic Footwear,45,150,6750
Sports Direct,2021-09-13,Northeast,Massachusetts,Women's Street Footwear,45,150,6750
Amazon,2021-12-21,Northeast,Maine,Men's Street Footwear,50,147,7350
Amazon,2021-10-22,Southeast,Kentucky,Men's Apparel,55,150,8250
Walmart,2021-08-10,West,Hawaii,Men's Apparel,69,147,10143
Amazon,2021-02-12,Northeast,Vermont,Women's Athletic Footwear,40,150,6000
Walmart,2021-11-17,Southeast,Florida,Women's Street Footwear,53,147,7791
Amazon,2021-04-11,Northeast,Vermont,Women's Athletic Footwear,40,150,6000
West Gear,2021-04-20,South,Oklahoma,Women's Athletic Footwear,20,150,3000
West Gear,2021-12-16,Southeast,Florida,Men's Apparel,86,147,12642
Amazon,2021-04-11,Northeast,Vermont,Men's Apparel,55,150,8250
West Gear,2021-04-09,Northeast,New York,Men's Athletic Footwear,43,147,6321
Amazon,2021-03-17,Northeast,New Hampshire,Women's Athletic Footwear,45,150,6750
Kohl's,2021-02-14,Midwest,Kansas,Women's Athletic Footwear,20,150,3000
West Gear,2021-11-09,Northeast,New York,Women's Street Footwear,45,147,6615
Foot Locker,2021-01-24,Northeast,New Hampshire,Women's Athletic Footwear,50,150,7500
Kohl's,2021-03-12,Midwest,Kansas,Men's Apparel,35,150,5250
Kohl's,2021-08-11,West,Wyoming,Women's Athletic Footwear,38,147,5586
Walmart,2020-09-15,South,Texas,Men's Apparel,42,150,6300
Kohl's,2021-04-13,Midwest,Kansas,Men's Apparel,40,150,6000
West Gear,2021-03-16,South,Louisiana,Men's Street Footwear,44,147,6468
West Gear,2020-11-10,West,California,Women's Athletic Footwear,47,150,7050
Foot Locker,2021-04-12,Midwest,South Dakota,Men's Athletic Footwear,40,150,6000
Foot Locker,2021-05-24,West,Arizona,Men's Street Footwear,47,147,6909
Foot Locker,2021-08-05,Midwest,Illinois,Men's Street Footwear,57,150,8550
Foot Locker,2021-04-12,Midwest,South Dakota,Women's Street Footwear,30,150,4500
Foot Locker,2021-11-23,West,Arizona,Men's Athletic Footwear,46,147,6762
Sports Direct,2021-09-19,South,Texas,Women's Athletic Footwear,43,150,6450
Kohl's,2021-02-26,West,Arizona,Men's Street Footwear,33,147,4851
West Gear,2020-03-04,West,Nevada,Men's Athletic Footwear,64,150,9600
Foot Locker,2021-09-13,Midwest,South Dakota,Women's Athletic Footwear,35,150,5250
Sports Direct,2021-06-13,Southeast,Georgia,Men's Athletic Footwear,54,147,7938
West Gear,2020-03-14,West,Nevada,Women's Apparel,74,150,11100
Amazon,2021-10-11,Midwest,Ohio,Women's Apparel,38,147,5586
West Gear,2020-04-16,West,Colorado,Women's Street Footwear,64,150,9600
Foot Locker,2021-09-13,Midwest,South Dakota,Men's Apparel,45,150,6750
West Gear,2020-05-14,West,Colorado,Men's Street Footwear,52,150,7800
Foot Locker,2021-10-12,Midwest,South Dakota,Women's Street Footwear,45,150,6750
West Gear,2021-12-09,Midwest,Ohio,Women's Athletic Footwear,63,147,9261
West Gear,2020-05-15,West,Colorado,Men's Athletic Footwear,55,150,8250
Sports Direct,2021-11-12,Midwest,South Dakota,Men's Apparel,60,150,9000
Walmart,2021-08-17,South,Mississippi,Women's Street Footwear,48,147,7056
West Gear,2020-08-05,West,Washington,Women's Apparel,86,150,12900
Walmart,2021-09-16,South,Mississippi,Men's Athletic Footwear,42,147,6174
Sports Direct,2021-10-06,South,Texas,Women's Street Footwear,41,144,5904
Walmart,2021-07-19,South,Arkansas,Men's Athletic Footwear,47,147,6909
Kohl's,2021-01-21,Midwest,Montana,Men's Street Footwear,39,150,5850
West Gear,2020-04-15,West,Colorado,Men's Athletic Footwear,59,144,8496
Sports Direct,2021-08-09,Midwest,North Dakota,Men's Street Footwear,46,147,6762
Kohl's,2021-02-01,Midwest,Montana,Women's Apparel,55,150,8250
West Gear,2020-07-05,West,Washington,Men's Apparel,77,144,11088
West Gear,2021-12-05,Midwest,Iowa,Men's Street Footwear,54,147,7938
Sports Direct,2021-05-04,South,Tennessee,Men's Athletic Footwear,32,150,4800
Sports Direct,2021-09-19,South,Alabama,Men's Athletic Footwear,50,144,7200
Sports Direct,2021-09-23,South,Alabama,Women's Apparel,37,150,5550
Sports Direct,2021-10-02,South,Alabama,Women's Street Footwear,43,144,6192
Foot Locker,2021-07-09,West,Hawaii,Women's Street Footwear,79,150,11850
Kohl's,2021-02-08,Northeast,Delaware,Men's Street Footwear,34,147,4998
Amazon,2021-11-05,Northeast,Maine,Men's Street Footwear,52,144,7488
Walmart,2021-10-17,Southeast,Florida,Men's Athletic Footwear,59,144,8496
Amazon,2021-11-10,Midwest,Ohio,Men's Athletic Footwear,24,140,3360
West Gear,2021-06-10,Northeast,New York,Women's Athletic Footwear,49,144,7056
Walmart,2021-11-17,Southeast,Florida,Women's Athletic Footwear,64,150,9600
Foot Locker,2021-05-16,South,Mississippi,Women's Apparel,47,140,6580
West Gear,2021-11-09,Northeast,New York,Women's Athletic Footwear,47,144,6768
Foot Locker,2021-05-31,West,California,Men's Street Footwear,36,147,5292
West Gear,2021-06-10,Northeast,New York,Women's Street Footwear,48,150,7200
West Gear,2021-12-19,South,Arkansas,Men's Athletic Footwear,54,140,7560
Sports Direct,2021-08-16,Midwest,Michigan,Women's Street Footwear,42,144,6048
Sports Direct,2021-09-29,South,Alabama,Women's Apparel,26,147,3822
Foot Locker,2021-04-18,Midwest,Missouri,Men's Street Footwear,33,144,4752
Walmart,2021-08-17,Southeast,Florida,Women's Athletic Footwear,64,147,9408
West Gear,2021-06-10,Northeast,New York,Men's Apparel,62,150,9300
Foot Locker,2021-03-05,Southeast,South Carolina,Women's Athletic Footwear,27,144,3888
Walmart,2021-11-17,Southeast,Florida,Men's Apparel,58,147,8526
West Gear,2021-07-08,Northeast,New York,Women's Athletic Footwear,53,150,7950
Sports Direct,2021-04-03,Southeast,North Carolina,Women's Street Footwear,20,144,2880
West Gear,2021-08-09,Northeast,New York,Women's Athletic Footwear,41,150,6150
Sports Direct,2021-12-16,South,Mississippi,Women's Apparel,71,144,10224
Foot Locker,2021-04-24,Southeast,Virginia,Men's Street Footwear,38,147,5586
West Gear,2021-10-10,Northeast,New York,Men's Apparel,59,150,8850
Kohl's,2021-06-14,Midwest,Kansas,Men's Street Footwear,37,144,5328
West Gear,2021-11-17,South,Louisiana,Men's Apparel,53,147,7791
Foot Locker,2021-02-15,Northeast,Maryland,Men's Street Footwear,39,144,5616
Kohl's,2021-03-06,Northeast,New Jersey,Men's Street Footwear,32,144,4608
Kohl's,2021-07-10,West,Wyoming,Women's Athletic Footwear,39,150,5850
West Gear,2021-01-05,South,Louisiana,Women's Apparel,23,147,3381
Foot Locker,2021-12-04,West,Idaho,Men's Apparel,43,147,6321
Kohl's,2021-09-10,West,Wyoming,Men's Athletic Footwear,44,150,6600
Foot Locker,2021-06-23,West,Arizona,Women's Street Footwear,41,147,6027
Kohl's,2021-10-12,West,Wyoming,Women's Apparel,55,150,8250
Kohl's,2021-01-26,West,Arizona,Men's Athletic Footwear,30,147,4410
Sports Direct,2021-12-23,Southeast,Virginia,Women's Apparel,82,150,12300
Kohl's,2021-07-12,Midwest,Kansas,Women's Apparel,60,140,8400
Sports Direct,2021-02-17,Southeast,Virginia,Women's Street Footwear,23,150,3450
Sports Direct,2021-12-11,Midwest,South Dakota,Men's Street Footwear,58,140,8120
Kohl's,2021-09-27,West,New Mexico,Women's Street Footwear,39,147,5733
Sports Direct,2021-05-15,Midwest,Michigan,Men's Athletic Footwear,47,150,7050
West Gear,2021-02-03,Midwest,Iowa,Men's Street Footwear,29,140,4060
Foot Locker,2021-12-12,Southeast,Georgia,Women's Street Footwear,36,147,5292
West Gear,2021-01-10,Midwest,Wisconsin,Men's Street Footwear,32,140,4480
Sports Direct,2021-05-15,Midwest,Michigan,Women's Apparel,55,150,8250
Sports Direct,2021-02-15,Northeast,Rhode Island,Men's Street Footwear,36,140,5040
Foot Locker,2021-04-17,South,Mississippi,Women's Apparel,22,147,3234
Kohl's,2021-03-17,West,California,Men's Apparel,40,140,5600
West Gear,2020-02-21,West,Nevada,Women's Street Footwear,46,144,6624
Walmart,2021-08-17,South,Mississippi,Women's Athletic Footwear,32,147,4704
Kohl's,2021-04-17,West,California,Men's Apparel,38,140,5320
Foot Locker,2021-11-18,Midwest,Missouri,Men's Street Footwear,34,150,5100
Sports Direct,2021-08-12,South,Alabama,Women's Apparel,27,144,3888
Kohl's,2021-11-11,West,Wyoming,Women's Street Footwear,42,146,6132
West Gear,2021-06-11,West,Utah,Women's Apparel,38,150,5700
Sports Direct,2021-08-26,South,Texas,Women's Athletic Footwear,26,140,3640
West Gear,2021-07-10,West,Utah,Women's Apparel,38,150,5700
Foot Locker,2021-11-09,Northeast,Pennsylvania,Men's Street Footwear,35,140,4900
Foot Locker,2021-05-07,Midwest,Iowa,Men's Street Footwear,57,146,8322
West Gear,2021-07-23,West,Oregon,Women's Apparel,97,150,14550
West Gear,2020-01-04,Northeast,Pennsylvania,Women's Street Footwear,36,140,5040
Foot Locker,2020-12-18,Midwest,Minnesota,Women's Street Footwear,40,145,5800
Sports Direct,2021-11-05,West,Idaho,Women's Street Footwear,58,150,8700
West Gear,2020-01-10,West,Nevada,Women's Street Footwear,31,140,4340
West Gear,2020-12-23,West,California,Men's Apparel,62,145,8990
West Gear,2020-01-13,West,Nevada,Women's Apparel,31,140,4340
